"var_name","num_of_nonmissing","pc_of_nonmissing","num_of_missing","pc_of_missing","mean","std","min","p5","p10","p25","p50","p75","p90","p95","p99","max"
"n_pre0_drug6",6112,"100.00%",0,"0.00%",0,0,0,0,0,0,0,0,0,0,0,0
"n_pre0_drug7",6112,"100.00%",0,"0.00%",0.37,0.48,0,0,0,0,0,1,1,1,1,1
"n_pre0_drug8",6112,"100.00%",0,"0.00%",0.03,0.17,0,0,0,0,0,0,0,0,1,1
"n_pre0_drug9",6112,"100.00%",0,"0.00%",0,0.04,0,0,0,0,0,0,0,0,0,1
"n_pre0_drug10",6112,"100.00%",0,"0.00%",0,0,0,0,0,0,0,0,0,0,0,0
"n_pre0_drug11",6112,"100.00%",0,"0.00%",0,0.04,0,0,0,0,0,0,0,0,0,1
"n_pre0_drug12",6112,"100.00%",0,"0.00%",0.01,0.08,0,0,0,0,0,0,0,0,0,1
"n_pre0_drug13",6112,"100.00%",0,"0.00%",0.01,0.08,0,0,0,0,0,0,0,0,0,1
"n_pre0_drug14",6112,"100.00%",0,"0.00%",0,0.03,0,0,0,0,0,0,0,0,0,1
"n_pre0_drug15",6112,"100.00%",0,"0.00%",0,0.04,0,0,0,0,0,0,0,0,0,1
"n_pre0_drug16",6112,"100.00%",0,"0.00%",0.01,0.09,0,0,0,0,0,0,0,0,0,1
"n_pre0_drug17",6112,"100.00%",0,"0.00%",0,0,0,0,0,0,0,0,0,0,0,0
"n_pre0_drug18",6112,"100.00%",0,"0.00%",0.23,0.42,0,0,0,0,0,0,1,1,1,1
"n_pre0_drug19",6112,"100.00%",0,"0.00%",0,0.04,0,0,0,0,0,0,0,0,0,1
"n_pre0_drug20",6112,"100.00%",0,"0.00%",0.04,0.21,0,0,0,0,0,0,0,0,1,1
"n_pre0_drug21",6112,"100.00%",0,"0.00%",0,0.01,0,0,0,0,0,0,0,0,0,1
"n_pre0_drug22",6112,"100.00%",0,"0.00%",0,0.06,0,0,0,0,0,0,0,0,0,1
"n_pre0_drug23",6112,"100.00%",0,"0.00%",0.01,0.11,0,0,0,0,0,0,0,0,1,1
"n_pre0_drug24",6112,"100.00%",0,"0.00%",0.1,0.3,0,0,0,0,0,0,1,1,1,1
"n_pre0_drug25",6112,"100.00%",0,"0.00%",0.01,0.07,0,0,0,0,0,0,0,0,0,1
"n_pre0_drug26",6112,"100.00%",0,"0.00%",0,0,0,0,0,0,0,0,0,0,0,0
"n_pre0_drug27",6112,"100.00%",0,"0.00%",0,0.06,0,0,0,0,0,0,0,0,0,1
"n_pre0_drug28",6112,"100.00%",0,"0.00%",0,0.02,0,0,0,0,0,0,0,0,0,1
"n_pre0_drug29",6112,"100.00%",0,"0.00%",0.01,0.09,0,0,0,0,0,0,0,0,0,1
"n_pre0_drug30",6112,"100.00%",0,"0.00%",0.01,0.08,0,0,0,0,0,0,0,0,0,1
"n_pre0_drug31",6112,"100.00%",0,"0.00%",0.01,0.1,0,0,0,0,0,0,0,0,0,1
"n_pre0_drug32",6112,"100.00%",0,"0.00%",0.03,0.16,0,0,0,0,0,0,0,0,1,1
"n_pre0_drug33",6112,"100.00%",0,"0.00%",0,0.04,0,0,0,0,0,0,0,0,0,1
"n_pre0_drug34",6112,"100.00%",0,"0.00%",0,0.03,0,0,0,0,0,0,0,0,0,1
"n_pre0_drug35",6112,"100.00%",0,"0.00%",0,0,0,0,0,0,0,0,0,0,0,0
"n_pre0_drug36",6112,"100.00%",0,"0.00%",0,0,0,0,0,0,0,0,0,0,0,0
"n_pre0_drug37",6112,"100.00%",0,"0.00%",0,0.03,0,0,0,0,0,0,0,0,0,1
"n_pre0_drug38",6112,"100.00%",0,"0.00%",0,0.03,0,0,0,0,0,0,0,0,0,1
"n_pre0_drug39",6112,"100.00%",0,"0.00%",0,0,0,0,0,0,0,0,0,0,0,0
"n_pre0_drug40",6112,"100.00%",0,"0.00%",0.05,0.22,0,0,0,0,0,0,0,0,1,1
"n_pre0_drug41",6112,"100.00%",0,"0.00%",0.03,0.17,0,0,0,0,0,0,0,0,1,1
"n_pre0_drug42",6112,"100.00%",0,"0.00%",0,0.07,0,0,0,0,0,0,0,0,0,1
"n_pre1_drug2",6112,"100.00%",0,"0.00%",0,0.03,0,0,0,0,0,0,0,0,0,1
"n_pre1_drug3",6112,"100.00%",0,"0.00%",0.03,0.16,0,0,0,0,0,0,0,0,1,1
"n_pre1_drug4",6112,"100.00%",0,"0.00%",0.01,0.09,0,0,0,0,0,0,0,0,0,1
"n_pre1_drug5",6112,"100.00%",0,"0.00%",0.02,0.13,0,0,0,0,0,0,0,0,1,1
"n_pre1_drug6",6112,"100.00%",0,"0.00%",0,0,0,0,0,0,0,0,0,0,0,0
"n_pre1_drug7",6112,"100.00%",0,"0.00%",0.25,0.44,0,0,0,0,0,1,1,1,1,1
"n_pre1_drug8",6112,"100.00%",0,"0.00%",0.02,0.13,0,0,0,0,0,0,0,0,1,1
"n_pre1_drug9",6112,"100.00%",0,"0.00%",0,0.05,0,0,0,0,0,0,0,0,0,1
"n_pre1_drug10",6112,"100.00%",0,"0.00%",0,0,0,0,0,0,0,0,0,0,0,0
"n_pre1_drug11",6112,"100.00%",0,"0.00%",0,0.04,0,0,0,0,0,0,0,0,0,1
"n_pre1_drug12",6112,"100.00%",0,"0.00%",0.01,0.08,0,0,0,0,0,0,0,0,0,1
"n_pre1_drug13",6112,"100.00%",0,"0.00%",0,0.06,0,0,0,0,0,0,0,0,0,1
"n_pre1_drug14",6112,"100.00%",0,"0.00%",0,0.03,0,0,0,0,0,0,0,0,0,1
"n_pre1_drug15",6112,"100.00%",0,"0.00%",0,0.04,0,0,0,0,0,0,0,0,0,1
"n_pre1_drug16",6112,"100.00%",0,"0.00%",0.01,0.08,0,0,0,0,0,0,0,0,0,1
"n_pre1_drug17",6112,"100.00%",0,"0.00%",0,0.01,0,0,0,0,0,0,0,0,0,1
"n_pre1_drug18",6112,"100.00%",0,"0.00%",0.16,0.37,0,0,0,0,0,0,1,1,1,1
"n_pre1_drug19",6112,"100.00%",0,"0.00%",0,0.01,0,0,0,0,0,0,0,0,0,1
"n_pre1_drug20",6112,"100.00%",0,"0.00%",0.03,0.17,0,0,0,0,0,0,0,0,1,1
"n_pre1_drug21",6112,"100.00%",0,"0.00%",0,0.01,0,0,0,0,0,0,0,0,0,1
"n_pre1_drug22",6112,"100.00%",0,"0.00%",0,0.05,0,0,0,0,0,0,0,0,0,1
"n_pre1_drug23",6112,"100.00%",0,"0.00%",0.01,0.11,0,0,0,0,0,0,0,0,1,1
"n_pre1_drug24",6112,"100.00%",0,"0.00%",0.07,0.26,0,0,0,0,0,0,0,1,1,1
"n_pre1_drug25",6112,"100.00%",0,"0.00%",0,0.06,0,0,0,0,0,0,0,0,0,1
"n_pre1_drug26",6112,"100.00%",0,"0.00%",0,0,0,0,0,0,0,0,0,0,0,0
"n_pre1_drug27",6112,"100.00%",0,"0.00%",0,0.04,0,0,0,0,0,0,0,0,0,1
